date,retweets,favorites,polarity
2019-09-08 08:55,47,69,0.25
2019-09-08 16:51,18,77,0.21428571428571427
2019-09-08 12:21,39,61,0.5
2019-09-08 09:36,15,67,-0.125
2019-09-03 07:59,313,627,1.0
2019-09-01 00:52,151,357,0.0625
2019-08-27 20:39,109,229,1.0
2019-08-30 13:43,30,61,0.3
2019-08-30 09:24,95,179,-0.04
2019-08-29 20:51,36,142,0.22666666666666666
2019-08-25 03:34,750,2846,0.425
2019-08-24 16:24,61,113,0.10416666666666666
2019-08-23 17:12,79,345,0.2681818181818182
2019-08-21 00:09,134,294,1.0
2019-08-18 11:56,39,159,-0.15
2019-08-16 08:33,29,60,-0.10370370370370373
2019-08-14 14:58,35,99,0.175
2019-08-14 09:39,301,641,1.0
2019-09-06 18:15,84,169,-0.4333333333333333
2019-09-04 07:52,15,36,0.2222222222222222
2019-09-09 07:40,18,36,-0.4333333333333333
2019-08-29 03:47,13,34,-0.2
2019-08-27 16:02,25,47,0.20285714285714285
2019-08-16 15:06,63,46,-0.175
2019-08-14 05:07,5,48,-0.7
2019-08-12 23:52,42,92,0.5
09/09/2019 03:05,86,328,-0.7
03/09/2019 23:59,527,2458,-0.7666666666666666
01/09/2019 17:03,623,564,-0.7
09/09/2019 07:53,122,197,-0.35625
08/09/2019 14:12,42,134,-0.18787878787878787
07/09/2019 00:00,99,131,-0.31875
02/09/2019 16:16,2415,2109,-0.7
09/09/2019 13:57,2,58,-0.35
06/09/2019 23:42,7,82,-0.033333333333333305
02/09/2019 14:11,4,96,0.35
02/09/2019 07:41,26,57,-0.03547619047619048
03/09/2019 12:16,79,73,-0.2
04/09/2019 03:21,15,83,-0.7
03/09/2019 03:00,24,60,-0.7
02/09/2019 13:11,38,437,-0.2285714285714285
02/09/2019 09:19,79,140,-0.3
01/09/2019 04:59,58,66,-0.01272727272727272
01/09/2019 01:23,101,138,-0.7
01/09/2019 01:00,39,67,0.08392857142857144
01/09/2019 00:04,59,105,-0.7
31/08/2019 10:40,5,74,-0.25
31/08/2019 10:09,44,144,-0.20791666666666664
31/08/2019 03:27,83,240,-0.1875
31/08/2019 02:21,4787,12683,-0.2
31/08/2019 01:47,155,358,-0.35
30/08/2019 13:11,717,2755,-0.4
30/08/2019 05:34,12,95,-0.1857142857142857
29/08/2019 10:26,133,409,0.056944444444444436
29/08/2019 10:23,166,641,0.05000000000000005
29/08/2019 09:30,39,90,-0.04
29/08/2019 08:54,56,165,0.05833333333333335
29/08/2019 06:22,40,282,0.16
29/08/2019 05:40,153,495,-0.7
28/08/2019 15:37,14,55,-0.175
28/08/2019 11:31,28,67,-0.7
27/08/2019 15:44,67,189,-0.15
27/08/2019 14:04,25,53,-0.1
27/08/2019 12:58,20,65,0.6
27/08/2019 11:09,95,197,-0.09714285714285713
27/08/2019 09:48,42,137,-0.25
27/08/2019 05:52,66,151,-0.16666666666666666
27/08/2019 04:13,169,506,-0.055000000000000014
27/08/2019 03:58,476,1151,0.2500000000000001
27/08/2019 03:30,94,233,-0.06666666666666665
27/08/2019 01:13,21,83,-0.35
26/08/2019 18:38,33,127,-0.7
26/08/2019 15:05,22,59,-0.028571428571428574
26/08/2019 14:05,59,138,-0.35
26/08/2019 12:50,62,111,-0.3416666666666667
26/08/2019 12:19,34,166,-0.225
26/08/2019 12:00,13,84,-0.225
26/08/2019 11:35,24,61,-0.7
26/08/2019 09:30,185,615,-0.04999999999999999
26/08/2019 05:38,86,324,-0.15
26/08/2019 05:31,111,333,-0.3375
26/08/2019 04:59,20,111,-0.225
26/08/2019 03:58,14,97,-0.15
26/08/2019 03:06,290,401,-0.1390782828282828
25/08/2019 23:15,374,638,-0.7
25/08/2019 15:20,32,86,-0.35
25/08/2019 14:50,319,1284,0.2333333333333333
25/08/2019 10:28,43,121,-0.7
24/08/2019 19:09,127,172,-0.15
24/08/2019 15:30,15,73,-0.35
24/08/2019 15:23,62,433,-0.7
23/08/2019 19:31,224,605,-0.26666666666666666
23/08/2019 18:15,178,368,-0.7
23/08/2019 12:37,75,116,-0.2859375
23/08/2019 10:34,7,93,-0.7
23/08/2019 10:03,20,81,-0.2346590909090909
23/08/2019 09:55,63,92,-0.35
23/08/2019 09:39,259,1672,-0.25
23/08/2019 09:25,266,404,-0.7
23/08/2019 09:24,55,71,0.03055555555555557
23/08/2019 08:17,105,254,0.0666666666666667
23/08/2019 07:01,487,1795,0.13333333333333333
23/08/2019 06:08,33,104,0.2875
23/08/2019 05:09,27,53,-0.7
22/08/2019 22:46,197,1161,-0.3259259259259259
22/08/2019 17:00,35,63,1.3877787807814454e-17
22/08/2019 11:56,39,52,-0.1716666666666667
22/08/2019 10:39,15,74,-0.12
21/08/2019 21:20,10,67,-0.7
21/08/2019 15:21,11,83,-0.7
21/08/2019 12:40,14,132,-0.7
21/08/2019 10:25,1039,1344,-0.1125
21/08/2019 10:10,27,53,-0.07499999999999997
21/08/2019 03:55,306,422,-0.7
20/08/2019 13:44,39,252,-0.3416666666666666
20/08/2019 13:35,19,90,-0.29999999999999993
20/08/2019 04:44,36,173,-0.4653846153846154
20/08/2019 02:03,9,53,-0.3320436507936508
20/08/2019 01:27,167,189,-0.7
19/08/2019 13:00,77,55,-0.7
19/08/2019 12:32,23,57,-0.16666666666666666
19/08/2019 11:42,44,62,-0.85
19/08/2019 09:26,43,144,-0.16666666666666666
19/08/2019 07:24,54,116,-0.3725
19/08/2019 04:00,217,473,-0.15999999999999998
18/08/2019 06:17,112,162,-0.2
18/08/2019 04:15,12,54,-0.15
17/08/2019 15:29,56,352,-0.7
17/08/2019 13:22,46,98,0.00714285714285715
17/08/2019 07:57,34,56,-0.2464285714285714
16/08/2019 09:55,146,231,-0.11666666666666665
16/08/2019 09:52,308,206,0.13106060606060607
16/08/2019 01:42,83,67,-0.35
15/08/2019 22:45,12,67,-0.2
15/08/2019 21:20,170,676,0.013333333333333336
15/08/2019 17:42,57,267,-0.35
15/08/2019 10:46,216,200,-0.2333333333333333
15/08/2019 06:50,31,113,-0.16249999999999998
14/08/2019 18:55,74,132,0.07222222222222226
14/08/2019 17:03,111,250,-0.7
14/08/2019 13:36,824,1880,-0.875
14/08/2019 13:05,592,1612,0.06000000000000001
13/08/2019 06:14,7,55,-0.09999999999999998
12/08/2019 23:45,170,277,-0.21875
