username;date;retweets;favorites;text
Matthew_hopton;12/09/2019 22:53;15;38;#ZIOC Amazing news! Hearing and seeing more evidence out of Brazzaville that an agreement was signed for the construction of the Pointe-Noire Special economic zone! This is a absolute game changer for @Zanaga_ Iron_Ore . Institutions will want in this very soon, don’t miss out
FinPlanKaluAja1;12/09/2019 09:28;257;390;Why no raw materials? Because there is no rail to take iron ore from Itakpe to Ajaokuta. Why no railway from Itakpe to Ajaokuta? Because NIOMCO in Itakpe is moribund and not functional thus cannot convert Itakpe iron ore to high grade ore for the furnace in Ajaokuta.
FinPlanKaluAja1;12/09/2019 09:23;257;395;3. Railway: 15m tonnes of iron ore cannot be moved by road, as it will destroy the roads, thus a railway was to be built from Itakpe to Ajaokuta to take iron ore from the beneficiation plan in Itakpe to the Ajaokuta. Rail link not working today
kleinezeitung;12/09/2019 05:00;1;3;Vier Tage lang ist die Stadt Eisenerz Schauplatz für die große Bundesübung des Roten Kreuzes „ Ironore 2019“ #ironore2019 http:// bit.ly/2Lq1bYy
BMI_OE;11/09/2019 12:49;5;17;"Die @PolizeiStmk nimmt an der Katastrophenschutzübung „ Ironore 2019 teil. Informationen zur Übung gibt es auf http:// Henri.FM . 23 Personen gestalten 80 h Live-Programm. Einschalten lohnt sich! Ab 6:00 Uhr startet der Sender. http://www. ironore.eu Adobe Stock pic.twitter.com/ohsLRX95wC"""
Zanaga_Iron_Ore;10/09/2019 07:54;31;67;Honoured to be invited by China Development Bank and COIDIC to join the 5th Investing in Africa Forum with the World Bank and Rep. of Congo gov #ZIOC #Zanaga #ironore #infrastructure #China #Glencore #WorldBank #ChinaDevelopmentBank #Brazzaville #InvestinginAfricaForum #Congo pic.twitter.com/0a8h3tvKAF
VIEmediaNEWS;10/09/2019 06:10;0;0;Termin-Aviso PK und Rotkreuz-Übung IRONORE : Katastrophenschutz in Österreich und der EU http://www. viemedia.at/termin-aviso-p k-und-rotkreuz-uebung-ironore-katastrophenschutz-in-oesterreich-und-der-eu/ …
aruna_sekhar;10/09/2019 05:45;98;84;43,000 hectares of protected indigenous land and prime elephant habitat on the chopping block for iron ore in Jharkhand's Saranda forests reports @ikukreti . CM @dasraghubar bats to protect mining interests. What will @PrakashJavdekar #COP14 chair choose? https://www. downtoearth.org.in/news/mining/ce ntre-may-open-43-000-ha-of-jharkhand-s-saranda-forest-for-mining-66569?fbclid=IwAR1Jch4lGq45fQ-LALzvSymddTDijSXmLB6Et9y5uTXCsZ2L-DjaIyChoYo …
JSPLCorporate;07/09/2019 13:00;162;232;"Companies which have invested thousands of crores in steel plants & have created employment in thousands should be given preference in iron ore auction,” our Chairman @MPNaveenJindal urges #Odisha Government. http:// orissadiary.com/jspl-chief-nav een-jindal-meets-chief-secretary-secretaries-state-government-odisha/ …"""
GDixon1977;06/09/2019 21:41;16;47;$5.9 bn The value of Australia’s current account surplus, the first since 1975. Driven by booming exports of iron ore and coal, the number isn’t as great as it looks, given ***most it goes back out of the country to resources firms that are majority foreign owned***.
GhoshAmitav;06/09/2019 11:08;25;32;"The effects of the 2008 Beijing Olympics are still evident in Goa. The rush to export iron ore from Goa to satiate China’s building frenzy in the run up to the games and after degraded large swaths of what was once good tree canopy cover."" https://www. downtoearth.org.in/news/mining/de sertification-in-india-mining-monstrous-for-goa-but-urbanisation-digs-a-bigger-hole-66544 …"""
BBGAfrica;06/09/2019 05:33;19;20;Billionaire mining investor Robert Friedland wins the rights to an iron ore deposit in Guinea that owners including BHP have left fallow for years https:// bloom.bg/2LtmCqy
meeramohanty;06/09/2019 04:34;22;22;Committee of Secretaries suggests amendment to definition of “illegal mining” in mining act, seeks to save @CoalIndiaHQ from a liability of Rs 53,000 crore after #Odisha iron ore miners paying Rs 19,000 core http://www. ecoti.in/WJBDyZ via @economictimes
ShiannonC;05/09/2019 07:45;16;43;A surplus on the volatile iron ore is all Aust has at present. Nothing else to hold off a recession. https:// twitter.com/JohnSaunders88 8/status/1169559121688809472 …
IFM_Economist;04/09/2019 23:32;5;36;Interesting that while Australia will likely have ‘twin surpluses’ they are both heavily reliant on the same one thing - high iron ore prices #ausbiz https:// twitter.com/Brad_Setser/st atus/1169421751677308930 …
ReneePassal;04/09/2019 11:41;20;27;⁦ @PeteStauber ⁩ and Congressman Jack Bergman are on their way to the Soo Locks. They’re on board the Roger Blough, along with iron ore that will be made into steel. #shipping#mining pic.twitter.com/mr3kcMB6zx
IsimaOdeh;04/09/2019 07:43;35;106;Nigeria is Africa's largest economy, largest oil, cement producer. Has Africa's largest gas reserves, 2nd largest iron ore , coal reserves, largest rice mill, 3rd largest foreign reserves, 2nd biggest banking sector. No. 3 investment destination. We are a powerhouse in Africa.
GwedeMantashe1;03/09/2019 08:54;31;54;Mining is the strongest performer in the 2nd quarter. Main contributors to the 3.1% positive growth in the sector include iron ore , manganese & coal. Mining is about a number of minerals that we must protect & position ourselves to play our role in the economy. #StatsSA @DMR_SA pic.twitter.com/aZ5xo6ZnfG
RN_JB7;02/09/2019 16:19;114;110;Why is the US suddenly interested in Greenland, and so as Russia and China? Because of its strategic value and widely believed natural resources, including zinc, lead, gold, iron ore , heavy and light rare earth elements, copper and oil. https://www. thelocal.dk/20190817/why-d oes-the-us-suddenly-care-about-greenland …
amyklobuchar;02/09/2019 11:41;906;5493;As the granddaughter of an iron ore miner and the daughter of a union teacher and a union newspaperman, I know that our workers and our unions are the backbone of this nation. On this Labor Day, let’s make sure the next President stands up for American workers.
KarlKohlhase;02/09/2019 07:57;22;146;“Whatever you do, do your work heartily, as for the Lord...” (Col 3:23) It’s Monday, and most of you are heading to work somewhere. I’ve already told you where I work (as a truck driver for an iron ore mine), so tell me what you do for a living.
YuanTalks;02/09/2019 00:43;28;80;#China ’s #IronOre futures rebounding for 2nd straight day, surging 5.6% for now pic.twitter.com/S9DWSe9CEH
simonting;01/09/2019 23:53;9;29;DCE Iron Ore +5.55% to 628 Yuan, another 2 Yuan rally will be limit up (+6%) !!
Steel_Faithful;31/08/2019 20:53;14;71;The Steelers colors are Black and Gold, not Black and Yellow.. The colors represent two ingredients used to create steel... Black represents Coal and Gold represents Iron Ore . #HistoryLesson #BlackAndGold https:// twitter.com/ZBNFL/status/1 167944750948732932 …
Miners_Strike;30/08/2019 16:47;12;33;#OnThisDay 1984. Nearly 100 South Wales miners took over three cranes, perched 120 ft above the harbour at Port Talbot steelworks. The cranes are used to unload coal and iron ore ships and the occupation halts supplies to the Llanwern and Port Talbot steelworks.
irarchaeology;30/08/2019 07:18;40;198;Found the base of the 13th century shaft furnace today with @SMLarchaeology . Used for smelting iron ore , it would orginally have looked something like this (second image via https://www. haraldthesmith.com/iron-smelting- part-iv-furnace-design/ … ) pic.twitter.com/OROmUpqy6z
Miners_Strike;30/08/2019 03:20;39;74;#OnThisDay 1984. Striking miners from four pits in the Gwent Valley, South Wales, seized a transporter bridge at Newport. The miners attempted to block supplies of iron ore and coal to British Steel’s strip mill at Llanwern by blocking the movement of ships.
Aeromom322Carol;29/08/2019 15:06;4;69;And continued to sell iron ore to the Germans - oh and let the Germans use trains to transport their troops to invade Norway and refused to give the Norwegian royal family refuge
CalebJHull;29/08/2019 14:27;78;1107;Guess where Sweden was during WWII when we were fighting literal fascism? Selling iron ore to Germany, who were completely dependent on it. So there goes that narrative.
CalebJHull;29/08/2019 14:22;47;435;"Fun fact: Germany was heavily dependent on Sweden's iron ore during WWII while we were trying to defeat the literal Nazis. So tell me more about fighting fascism"""""
GOLDINVEST_de;27/08/2019 07:33;0;0;Eisenerzproduzent #Fortescue verdreifacht Gewinn Hier geht's zum Artikel --> https:// bit.ly/2ztNwZv $ FMG #Eisenerz #ironore #Rohstoffe #Stahl #China #Unternehmen #Wirtschaft #Aktien #RioTinto #BHP pic.twitter.com/N34kaDQLdb
IndiaHistorypic;25/08/2019 06:40;71;325;Geologist Pramatha Nath Bose ( Born In 1855 ) Discovered Iron Ore Deposits In The Hills of Gorumahisani In The State of Mayurbhanj. In 1904 P N Bose Wrote a Letter to Jamsetji Tata Which Led to Establishment of Tata Iron and Steel Company at Sakchi (Now Jamshedpur ) pic.twitter.com/dB8VLhTJxt
raulmares72;25/08/2019 05:04;5;28;MANDALORIAN IRON, also known as BESKAR, was an extremely durable iron ore only found in world of Mandalore and its moon, Concordia. Mandalorians Mandalore mined their planet for beskar, using it in the creation of weapons, armor, and starships (continued) pic.twitter.com/Ie8WpwLy2V
segalink;25/08/2019 01:30;271;799;Everything has its limit - iron ore cannot be educated into gold.
JSPLCorporate;23/08/2019 06:13;96;104;#CNBCTV18Exclusive Watch our MD V R Sharma, who was on @CNBCTV18Live earlier today to discuss about Angul ramps up, iron ore availabilities, our debt reduction plans and many more important issues. pic.twitter.com/2LMtj4AqcK
kwingerei;23/08/2019 00:04;15;40;"When Norway found oil & gas in the early seventies the principle of who owns the resources (that'll be the the people) was well established and uncontested, unlike in Oz where Lang Hancock could fly over the Pilbara, discover iron ore and say I'll have all of that, thank you""."""
pdacosta;22/08/2019 11:43;15;17;"With the melting ice, #Greenland 's vast quantities of metals and energy resources—believed to include iron ore , lead, zinc, diamonds, gold, copper, uranium and oil—are becoming more accessible than ever before."" https://www. forbes.com/sites/davidnik el/2019/08/16/whats-so-great-about-greenland-why-trump-wants-it-and-why-denmark-wont-sell/#4eb008f3f8ed …"""
j_laurenceson;22/08/2019 07:53;21;43;I’m speechless. A joke? “It can’t be ignored that Australian iron ore exports could potentially be then used to support warship production.” Chinese military: Security experts fear Australian iron ore being used for Chinese submarines | Herald Sun https://www. heraldsun.com.au/news/experts-f ear-aussie-steel-being-used-for-chinese-submarines/news-story/b48a698f5bc0be57e124df8bee196dfe …
dlacalle_IA;22/08/2019 07:12;37;68;Further signs of slowdown: Iron ore prices slumped to their lowest levels since March, part of a wider 30% slump this month (FT) Copper futures fell in New York for four of the past five months. Aluminium weakness signals persistent overcapacity. pic.twitter.com/5CTXLGUdX1
BobBrownFndn;22/08/2019 03:51;12;26;Don't let Venture Minerals play dice with takayna /Tarkine. In a move that smacks more of manipulating permits, Venture Minerals has announced decision to commence mining at Riley Creek despite three straight weeks of plummetting iron ore prices. http:// bobbrown.org.au/mr_220819 #politas
TrumpLadyFran;21/08/2019 20:26;32;63;Tammy Bruce: Greenland is rich in natural resources. They have iron ore , lead, zinc, diamonds... uranium, oil, but also rare earth elements. We rely on China for those, interestingly enough, & that has been an understated threat by China in the trade negotiations.
nmdclimited;21/08/2019 13:23;12;45;Hon'ble Mines tribunal, Govt. of India issues stay order against Karnataka Govt's decision about withdrawal of extension of mining lease of NMDC's Donimalai Iron ore mine & to conduct auction of that rich deposit. A welcome step for responsible mining. @SteelMinIndia @baijendra
MiaFarrow;21/08/2019 12:44;98;424;My theory is that he & his family want Greenland in order to get the jump on buying up valuable resources now becoming available as the ice melts– iron ore , lead, zinc, diamonds, gold, rare earth elements, uranium and oil. https://www. washingtonpost.com/politics/2019/ 08/21/trump-goes-full-parody-buying-greenland/ …
davidshapiro61;21/08/2019 06:07;35;46;Shock of the day - iron ore price takes another leg down. (62% down at $91 [-3.2%] from $120 at end July.) Fall not a surprise. Producers holding up well. Also 8 stocks that have lost more than 25% in Aug: Massmart, Aspen, Discovery, Mpact, Grindrod, Truworths, EOH & Steinhoff.
yohiobaseball;20/08/2019 12:48;33;34;. @TheLastRefuge2 Here’s BHP reason for supporting Globalization “BHP on Tues posted annual profit of $9.12 billion,a bumper figure built largely on selling iron ore , coal & copper to China,“ BHP chief to 'stick up for globalization' as trade tensions bite https:// mobile.reuters.com/article/amp/id USKCN1VA16R?utm_campaign=trueAnthem%3A%2BTrending%2BContent&utm_content=5d5c008a37ca340001cf7651&utm_medium=trueAnthem&utm_source=twitter&__twitter_impression=true …
MADE__USA;20/08/2019 09:17;143;740;"The Green New Deal!! Greenland is the world's largest island rich in oil, zinc, lead, iron ore , gold and diamonds! Home of Sirius Sled Dog Patrol"" an elite naval unit, the hardest special forces in the world to join!! The possibilities are endless. #GoGreen #GreenlandUSA pic.twitter.com/I5H9odZvBz"""
smh;20/08/2019 07:20;22;41;Exclusive: Australia has warned it may cancel a China-backed mining company's permit to access its own iron ore mine which lies close to one of the nation's most highly sensitive defence sites https://www. smh.com.au/politics/feder al/australia-may-bar-china-backed-firm-from-a-mine-it-owns-on-a-missile-site-20190820-p52isk.html?utm_medium=Social&utm_source=Twitter#Echobox=1566293028 …
trainspo;20/08/2019 05:29;1;6;Two iron ore trains meeting at Torneträsk station / RL https:// trainspo.com/photo/104012/
ChrisWeston_PS;19/08/2019 19:43;17;44;*BHP: SURPRISED BY STRENGTH OF CHINA'S END-USE STEEL DEMAND, CHINA IRON ORE PORT STOCKPILES MAY FALL FURTHER IN 2H #bullish
ILMFOrg;16/08/2019 12:36;13;44;Greenland has many natural resources, including zinc, lead, gold, iron ore , heavy and light rare earth elements, copper and oil. Do you think this is a good idea? pic.twitter.com/6v6crx4Pzg
Distinct_Words;16/08/2019 07:06;292;295;"Trump wants to buy Greenland? potential for many natural resources including zinc, lead, gold, iron ore , heavy & light rare earth elements, copper & oil China has made several efforts to gain an economic presence on the island, according to the report."" https:// portermedium.com/2019/08/report -trump-has-floated-the-idea-of-buying-greenland/ …"""
TheStalwart;14/08/2019 13:38;7;71;Look at Europe, where there's a much more robust safety net. You don't see endless bubbles or stock market speculation. Then look at China, which is much more precarious and has a precarious safety net. Bubbles after bubbles (real estate, iron ore , steel, stocks crypto etc.)
Scutty;13/08/2019 08:26;26;41;Iron ore pummelled again. MBIOI-58 -7.3% to $77.03 MBIOI-62 -5.2% to $89.25 MBIOI-65-BZ -4% to $97.50. Benchmark now down 29% from the highs hit in July. pic.twitter.com/jRjfdI4HEq
GregNorberg;12/08/2019 15:56;1524;1802;A 2-MW windmill is made of 260tons of steel that required 300tons of iron ore & 170tons of coking coal, all mined, transported &produced by hydrocarbons A windmill could spin until it falls apart&never generate as much energy as was invested in building it pic.twitter.com/HdudrAxQL1
dpradhanbjp;12/08/2019 13:29;92;569;After a hectic day touring various iron ore mines, it was refreshing to spend some time with these school children. SAIL is contributing towards education and wellbeing of children living around the mine area. My best wishes to these children for a bright future! pic.twitter.com/D2e1P8rPys
dpradhanbjp;12/08/2019 05:47;44;265;Visited @SAILsteel ’s captive iron ore mine in Gua, Jharkhand. Impressed by the positivity of colleagues here. We discussed on a roadmap to enhance capacity of Gua iron ore mine to make it the best mine in the country both in production volumes and in sustainable mining. pic.twitter.com/PWTa1lb3h8
AvidCommentator;12/08/2019 04:37;20;59;"- The construction sector is projected to shed 100,000 jobs by the end of 2019 - Retail remains in a recession"" - Iron ore has plummeted almost 30% in the last 2 weeks. - The chance of a global recession is as high as ~80% by the end of 2020. #TheSurplusIsToast #GiveUpScoMo"""
YesSweden;12/08/2019 04:22;30;249;Another picture of Kiruna, with the iron ore mine at the background. #Swedish #Lapland pic.twitter.com/EQREbO9dOy
dpradhanbjp;12/08/2019 03:20;47;288;Visited @TataSteelLtd ’s Iron ore mines in Noamundi. Happy to know that Tata Steel has commissioned a solar power plant at the mines to reduce the carbon footprints. The solar power plant is a first to be set up in any iron ore mine of the country. pic.twitter.com/CMmc3nk45q
business;12/08/2019 01:18;24;30;Iron ore sank toward $80 a ton, extending this month’s rout, after China poured fuel on demand fears https:// bloom.bg/31tsR3K
YuanTalks;12/08/2019 00:21;30;45;#China ’s #IronOre futures extend losses on Monday, tumbling 4.7% to hit NEW LOW in nearly three month on downbeat outlook for demand and rising stockpiles. https://www. yuantalks.com/chinas-iron-or e-futures-two-month-low-as-turning-point-in-supplies-emerges/ … pic.twitter.com/xjmGSMMLUC
simonting;11/08/2019 22:57;23;31;DCE Iron Ore Spot index declines 9 days in a row. Iron Ore futures -5.1%, low 609.5 RMB, 607 limit down pic.twitter.com/2dzV1H0ooq
Robert__Rennie;11/08/2019 22:09;31;51;Chinese rebar steel inventory at highest level seen for this time of year in 6yrs. The price of Chinese rebar is at lowest level in 15 months in US$ terms. This slide in Chinese steel prices/ inventory rise, has played an important role in very sharp reversal in iron ore prices. pic.twitter.com/4K9sT7zxRD
RBJRON;10/08/2019 21:52;15;54;If it was fought on economic lines, why did they win then? Lets face it Australia is an economic basket case under the LNP. They've destroyed manufacturing and rely on coal and iron ore sales.
aaron_mpotle;09/08/2019 15:39;33;22;34 ton trucks are required Distance: 34Km roundtrip Commodity: iron ore Loads: 15 per truck per day Commencement: 12 August 2019 https:// twitter.com/akreana_/statu s/1081598051322679297 …
IYCKarnataka;09/08/2019 09:50;31;80;Shabaash @BSYBJP ಶಭಾಷ್! - Open Fire on Farmers - Allow Loot of Iron Ore - Go Missing while Half of Karnataka is drowning in floods Now, Order Lathi Charge on Flood Victims! ಅನ್ನ ಬೇಡಿ ಬಂದ ನಿರಾಶ್ರಿತರ ಮೇಲೆ ಲಾಠಿ ಚಾರ್ಜ್ ನಡೆಸಿದ ನಿಮ್ಮಂತಹವರನ್ನು ಆ ಭಗವಂತ ನೋಡಿಕೊಳ್ಳಲಿ! pic.twitter.com/bJ9N1Bo7oi
mattjcan;08/08/2019 17:57;27;78;iron ore + coal + gas > than all other exports pic.twitter.com/URTwoMCs6C
zerohedge;07/08/2019 20:35;31;52;"We Only Needed A Trigger"" - Iron Ore Plunges Into Bear Market, Weak Demand Outlook https://www. zerohedge.com/news/2019-08-0 7/we-only-needed-trigger-iron-ore-plunges-bear-market-weak-demand-outlook …"""
IrusVirus;07/08/2019 17:08;0;0;Das Video „Entire Biome Mined w/ Trains (10,000+ IRON ORE ) - Satisfactory Early Access Gameplay Ep 53“ gefällt mir gut, hier kannst du es selbst anschauen: https:// youtu.be/tRzdPJNy8Yc
YuanTalks;07/08/2019 04:23;14;32;#China ’s #IronOre futures close 5% down to the lowest in over 2 months, limit down intraday. #CrudeOil futures down 2.4%. pic.twitter.com/m7ceLU9xia
YuanTalks;07/08/2019 01:02;40;56;#China ’s #IronOre futures tumbles another 4% this morning pic.twitter.com/iO01lYyNyx
nehaa_sinha;06/08/2019 23:55;175;690;The spectacular Chitrakote falls of Chattisgarh! The Indravati river is magnificent in this season. There is iron ore in this region, but we should decide whether we need mining in all the places that minerals and ores occur or fresh water. #WednesdayWisdom pic.twitter.com/G2CEYxePC6
sergiosanita;06/08/2019 23:47;3;75;#IronOre derretendo mais rapido que o gelo da Groenlândia pic.twitter.com/SsmdAOzy7l
Scutty;06/08/2019 08:19;15;30;Kaboom! Iron ore hit again. MBIOI-58 -1.8% to $86.34 MBIOI-62 -3% to $97.55 MBIOI-65-BZ -3.4% to $106.70 Now down 20.4%, 22.4% and 19.8% respectively from the recent cyclical highs #bearmarket pic.twitter.com/pyE0c7LSWP
business;05/08/2019 23:54;23;52;Iron ore collapses into a bear market https:// bloom.bg/2Kumy9u
CallamPickering;05/08/2019 22:42;14;26;Iron ore is key reason behind Australia's record trade surplus. The value of iron ore exports is up almost 60% since the beginning of the year, with miners benefiting a great deal from higher prices #ausbiz pic.twitter.com/dkvlD1wNj3
swrighteconomy;05/08/2019 21:31;21;41;Iron ore miners getting hit ... On July 3, Fortescue was $9.40 - today $6.72. BHP was $42.08, now $36.45. Rio was $107.05, now $89.37.
zerohedge;05/08/2019 21:17;38;107;IRON ORE FUTURES EXTEND COLLAPSE, SLUMP 3.3% TO $92.60/TON
Scutty;05/08/2019 08:06;23;49;Iron ore walloped again, especially lower grades. MBIOI-58 -15.9% to $87.88 MBIOI-62 -6.7% to $100.56 MBIOI-65-BZ -6.5% to $110.50 The decline for 58% fines was the largest since daily spot pricing began in 2013. All 3 grades sit at multi-month lows. pic.twitter.com/yhPmshK754
TheKouk;05/08/2019 04:02;11;20;It does look like the unsustainable rise in iron ore prices was, well, unsustainable. Vale production is coming back & in a win for economics, rising supply relative to a given level of demand = lower prices How low will it go?
sunchartist;05/08/2019 03:42;18;30;SGX IRON ORE -8.40% pic.twitter.com/jUGve6dgpB
GOLDINVEST_de;05/08/2019 03:13;0;0;#M3Metals will Wert gewaltiger Eisenerzvorkommen schnellstmöglich heben! Hier geht's zum Artikel --> https:// bit.ly/2T7rGnQ @MLGoldCorp #Eisenerz #ironore #Eisenerzrallye #Eisenerzpreis #Rohstoffe #Rohstoffaktien #LabradorTrough #ChampionIron pic.twitter.com/FxoL076L6K
KanaraTmt;05/08/2019 03:02;11;22;Always consider buying the Right #Building Materials for your Construction purposes. It is always worth considering factors like Requirement, Costs, Durability & Availability. #KanaraTMT #TMTsteelbar #Construction #Tmts #steelfacts #ironore #SteelTruth pic.twitter.com/KOlCMXkt65
business;05/08/2019 01:18;35;41;Iron ore futures collapse back below $100 as rout gathers pace https:// bloom.bg/2yCnao3 pic.twitter.com/1sN0rTB3Sg
davidshapiro61;05/08/2019 00:18;124;200;Shock of the day: Rand at 14.86 to dollar. China halts US agriculture imports. Equity markets tumbling - S&P500 futures down over 1%. To add to out woes iron ore price collapsing. Now below $100 on increasing supplies from Brazil and easing Chinese demand. Manic Monday.
Jill_hubley;03/08/2019 21:49;21;83;movement of grain, flour, iron ore , corn, and oats on the great lakes. the maps with red are from 1909, the ones with green from 1923 pic.twitter.com/xep5CgDWM6
dock_tank;03/08/2019 07:06;9;67;Theory: 'Arry and Bert are at Ffarquhar Quarry all the tine because they now mine iron ore , so they're apways there collecting it and taking it to the ironworks. (I know it doesn't look like iron ore in the trucks but whatever) pic.twitter.com/ptlw6r8fg3
OmasoroO;03/08/2019 06:43;330;586;African Natural Resources and Mines signed a deal with Nigeria to invest $600million in iron ore and steel production. Their plant will also generate enough heat that will produce 34mw electricity,and supply from their kaduna plant. This is a major boost to our steel production. pic.twitter.com/C5gu9P8cJs
Ashi_IndiaToday;02/08/2019 00:34;1059;1003;"#AndhraPradesh IFS officer Kallol Biswas who had earned fame after serving notices to Bellary mining king #GaliJanardhanReddy for alleged irregularities"" done by his Obulapuram Mining Corporation and encroaching forest land for illegal iron ore mining sacked by the centre. pic.twitter.com/w0VTC9TiEJ"""
YuanTalks;01/08/2019 22:05;40;76;#China A50 futures tumbling near 3%. China’s #CrudeOil and #IronOre futures down 4.6% and 4.1%. #Cotton futures and #coke futures limit down. pic.twitter.com/rK0bvGHeIN
Condor_Law;01/08/2019 01:03;62;61;Since 2013, #Soros has spent $41.9 million financing #OpenBorders #NGOs & Liberal protest groups. He is currently sued by the state of Israel for $10 billion for orchestrating the African country of Guinea’s freezing of Israeli iron ore mining contracts! https://www. lifesitenews.com/news/billionai re-leftist-soros-pouring-more-money-into-lobbying-efforts …
PaulBassat;31/07/2019 23:18;22;124;Our 3 largest exports are iron ore , coal & education All 3 have a single point of failure: Iron ore : fall in price of iron ore Coal: fall in price of coal (coking & thermal) Education: Chinese Govt discouraging students from coming here We need to urgently diversify our economy
nendaas1;31/07/2019 22:44;2;2;WINDMILLS!!!! A windmill is made of 260 tons of steel that required 300 tons of iron ore &170 tons of coking coal all mined transported & produced by hydrocarbons A windmill could spin until it falls apart &never generates as much energy as was invested in building it #DemDebate2
darshanvmehta1;31/07/2019 22:38;5;10;"GLOBAL CUES US markets down 1% as US FED says rate cut not necessarily start of easing cycle Asia weak, SGX Nifty down Crude down 1.6% after 5 days of gains Most metals on LME close down; DCE iron ore down 2%"
AusPropJournal;31/07/2019 22:28;0;0;AS iron ore prices hit 2014 levels, the owners of the Seasons Hotel Newman in regional Western Australia have listed the short stay accommodation asset for sale. #cre #commercialproperty https://www. australianpropertyjournal.com.au/2019/07/31/a-h otel-for-all-seasons/ …
ExaminerOnline;31/07/2019 22:14;0;0;Venture Minerals picks Shaw Contracting for Riley iron ore mining http:// bit.ly/2Zx6oTb
brutal__reality;31/07/2019 22:09;1;0;"Follow #Pepperstone FX tweets may #LOSE * #money * Said #NZDUSD @~ 0.671 holding well may expecting a  #rally "" BUT #really ? #NZDUSD #FALL ~ 0.654 #trading #eurusd #usdjpy #gbpusd #audusd #usdcad #usdchf #nzdjpy #usdtry #asx200 #iron #ore #crude #oott #shares #crypto #fed #fomc pic.twitter.com/IaXlaKaBZk"""
Easttoday1;31/07/2019 22:05;0;0;Most commodity #futures opened low in #China , with iron ore led the decline trend. The iron ore main contract i2001 fell 2.4%.
rflrueda;31/07/2019 21:54;0;1;What about China Iron Ore inventories?
julia16815;31/07/2019 21:53;0;2;A surplus of $2.2B as long as Brazil can’t fix their mines and environmental crime and the price of iron ore continue to soar, as long as they continue to defund Medicare, Education and Welfare services. Surplus indeed! #auspol https:// twitter.com/DaveyDogs/stat us/1156291666841497600 …
vishakha_lion;31/07/2019 21:51;0;0;Chinese #steel output in 2H19 may be crucial in determining whether #iron ore pricing remains close to multi-year highs or falls back, while recent historic trends could imply a limited decline for steel production http:// ow.ly/2zrW30pgjak
MagnetiteMines;31/07/2019 21:41;0;0;Potentially transformational for South Australia @Mining_EnergySA #ironore #GradeMatters #Commodities @CameronEngland #ausbiz https://www. adelaidenow.com.au/business/sa-bu siness-journal/energy-mining-department-chief-executive-paul-heithersay-reveals-targets-for-resources-and-renewables/news-story/82a3d6d480ee041a99d6d4855ac98577 …
MagnetiteMines;31/07/2019 21:41;2;3;"DPT for #Energy & #Mining Paul Heithersay keen to see SA's #magnetite industry take off. “We know that magnetite is the #ironore of choice for the future because of its low environmental impact, it’s less energy intensive. We’ve got a lot of it in South Australia @CameronEngland pic.twitter.com/3pO5u1xhco"""
Happy19112;31/07/2019 21:32;0;0;It’s part of a short line in Eastern Tennessee that supplied iron ore during the Civil War,
hiool;31/07/2019 21:12;0;0;China steel rebound fizzles, iron ore rally loses steam https://www. hellenicshippingnews.com/china-steel-re bound-fizzles-iron-ore-rally-loses-steam/ …
hiool;31/07/2019 21:12;0;0;Analysis: China steel output key for iron ore , H2 decline may be limited https://www. hellenicshippingnews.com/analysis-china -steel-output-key-for-iron-ore-h2-decline-may-be-limited/ …
